"id_transakcji"	"id_klienta"	"id_asortymentu"	"ilosc"	"data_transakcji"
"F/TR/13094323"	"KoKa16220"	"EGE"	8,34	2013-8-28 00:00:00
"F/TR/5751357"	"MaJe13070"	"EGS"	2,86	2014-7-7 00:00:00
"F/TR/91356070"	"HePr1912"	"EGS"	1,43	2014-7-9 00:00:00
"F/TR/73025451"	"SlBr15324"	"EGS"	8,86	2013-8-2 00:00:00
"F/TR/81692716"	"MiKo14398"	"K"	10,61	2014-6-12 00:00:00
"F/TR/60871543"	"KaWy13198"	"O"	3,46	2014-7-31 00:00:00
"F/TR/29385022"	"BeHa3926"	"M"	1,22	2014-10-3 00:00:00
"F/TR/65521309"	"AdSe19548"	"M"	9,29	2013-8-6 00:00:00
"F/TR/51952879"	"StSw955"	"M"	8,68	2013-3-18 00:00:00
"F/TR/63662316"	"KlKo10606"	"PE"	6,14	2014-5-27 00:00:00
"F/TR/48788002"	"GeBe16866"	"M"	4,65	2014-11-20 00:00:00
"F/TR/88357796"	"TwRo2251"	"K"	3,03	2013-11-22 00:00:00
"F/TR/38550861"	"StKi4995"	"EGS"	6,45	2013-6-28 00:00:00
"F/TR/79063183"	"SaFi1956"	"EG"	11,35	2014-7-26 00:00:00
"F/TR/12298443"	"DeFi18450"	"EG"	5,16	2014-3-4 00:00:00
"F/TR/57590903"	"FaKo15533"	"EG"	1,15	2014-3-19 00:00:00
"F/TR/48107598"	"GeLi1710"	"PE"	7,85	2014-6-26 00:00:00
"F/TR/97804326"	"GaSe6116"	"OO"	2,63	2013-5-25 00:00:00
"F/TR/27063658"	"AbMo14159"	"OO"	9,50	2014-8-10 00:00:00
"F/TR/40569722"	"PaDw10732"	"EGE"	5,50	2014-9-14 00:00:00
"F/TR/21812904"	"StDr11356"	"EGS"	5,75	2014-10-27 00:00:00
"F/TR/39426794"	"DaMa6623"	"EGS"	6,73	2014-3-5 00:00:00
"F/TR/41415118"	"AsJo14289"	"EGS"	7,27	2014-5-20 00:00:00
"F/TR/40934559"	"WaJa17792"	"K"	2,50	2013-7-8 00:00:00
"F/TR/3990077"	"ZaNi18823"	"O"	10,58	2014-5-5 00:00:00
"F/TR/83763803"	"KwBr19898"	"OO"	9,60	2013-3-20 00:00:00
"F/TR/43382743"	"NiLa765"	"M"	3,23	2013-10-30 00:00:00
"F/TR/59638097"	"IlKu1274"	"M"	8,70	2013-10-29 00:00:00
"F/TR/2728087"	"Bosw13735"	"M"	6,85	2014-8-11 00:00:00
"F/TR/44568073"	"OdSc18060"	"PE"	6,85	2014-5-22 00:00:00
"F/TR/25361845"	"DeBo13705"	"M"	6,00	2014-9-6 00:00:00
"F/TR/27085030"	"SeKr13240"	"O"	11,71	2013-7-27 00:00:00
"F/TR/99317553"	"AdAz17252"	"K"	6,65	2014-8-30 00:00:00
"F/TR/84542100"	"FaWd13663"	"EGS"	3,06	2014-10-4 00:00:00
"F/TR/64190520"	"DaUr910"	"EG"	2,04	2013-9-1 00:00:00
"F/TR/69163194"	"TyTe8204"	"EG"	4,08	2014-6-8 00:00:00
"F/TR/93685251"	"PuSi19760"	"EG"	2,50	2013-11-10 00:00:00
"F/TR/18207346"	"ToKa5522"	"PE"	5,13	2014-4-16 00:00:00
"F/TR/53900238"	"MePi13668"	"OO"	1,79	2014-5-1 00:00:00
"F/TR/73679575"	"RaFe12187"	"OO"	9,89	2013-3-17 00:00:00
"F/TR/70135455"	"BrKy17914"	"EGE"	9,92	2014-10-9 00:00:00
"F/TR/76959009"	"DoMa8498"	"EGS"	9,88	2013-4-13 00:00:00
"F/TR/85614227"	"AgGo19918"	"EGS"	4,10	2014-8-21 00:00:00
"F/TR/39171278"	"AlDe13194"	"EGS"	9,76	2014-8-19 00:00:00
"F/TR/64938674"	"EmTe13331"	"K"	7,12	2014-9-18 00:00:00
"F/TR/77590838"	"BaTy17427"	"O"	1,54	2013-3-4 00:00:00
"F/TR/15817295"	"RyMi15987"	"M"	5,04	2013-5-21 00:00:00
"F/TR/29798294"	"MaJe2069"	"M"	8,99	2014-4-11 00:00:00
"F/TR/26704147"	"BoTa5758"	"M"	2,49	2013-6-19 00:00:00
"F/TR/69036929"	"OlDa11423"	"PE"	8,70	2014-7-2 00:00:00
"F/TR/70799711"	"Brzo12727"	"M"	9,17	2013-12-8 00:00:00
"F/TR/76885634"	"BuWa971"	"O"	7,01	2014-7-10 00:00:00
"F/TR/80814921"	"WiGo1183"	"K"	9,59	2014-9-5 00:00:00
"F/TR/93864165"	"BoSt18553"	"EGS"	10,87	2013-7-5 00:00:00
"F/TR/76749474"	"MaSz11249"	"EG"	10,22	2014-7-29 00:00:00
"F/TR/23832818"	"BlBo1609"	"EG"	4,84	2013-11-7 00:00:00
"F/TR/18000286"	"KaHa15995"	"PE"	6,97	2013-2-21 00:00:00
"F/TR/46658589"	"ErJe13688"	"OO"	9,21	2014-8-12 00:00:00
"F/TR/15328434"	"DoKi17115"	"OO"	3,45	2013-2-23 00:00:00
"F/TR/59075052"	"MaTe19143"	"EGE"	6,88	2013-11-24 00:00:00
"F/TR/33798990"	"IlWi13979"	"EGS"	3,00	2013-10-7 00:00:00
"F/TR/10146994"	"DoDz12323"	"EGS"	2,38	2013-7-30 00:00:00
"F/TR/59389038"	"FlMa13185"	"EGS"	7,84	2013-8-25 00:00:00
"F/TR/87071041"	"MaGa13269"	"K"	10,75	2013-12-3 00:00:00
"F/TR/54743314"	"MsNi9653"	"O"	1,24	2014-4-23 00:00:00
"F/TR/46579001"	"ElDr9061"	"OO"	3,15	2014-9-4 00:00:00
"F/TR/38608032"	"KoFa9033"	"M"	11,70	2014-4-7 00:00:00
"F/TR/17897603"	"GeBe16866"	"M"	7,93	2014-7-13 00:00:00
"F/TR/35349888"	"ElKa17244"	"M"	4,40	2013-11-26 00:00:00
"F/TR/82263547"	"PrBo19223"	"PE"	10,87	2014-2-24 00:00:00
