"id_us"	"nazwa_us"
101	"Dolnoslaski Urzad Skarbowy we Wroclawiu"
102	"Kujawsko-Pomorski Urzad Skarbowy w Bydgoszczy"
103	"Lubelski Urzad Skarbowy w Lublinie"
104	"Lubuski Urzad Skarbowy w Zielonej Gorze"
105	"lodzki Urzad Skarbowy w lodzi"
106	"Malopolski Urzad Skarbowy w Krakowie"
107	"Pierwszy Mazowiecki Urzad Skarbowy w Warszawie"
108	"Drugi Mazowiecki Urzad Skarbowy w Warszawie"
109	"Trzeci Mazowiecki Urzad Skarbowy w Radomiu"
111	"Urzad Skarbowy Warszawa-Mokotow"
112	"Urzad Skarbowy Warszawa-Bemowo"
113	"Urzad Skarbowy Warszawa-Praga"
114	"Urzad Skarbowy Warszawa-Targowek"
115	"Pierwszy Urzad Skarbowy Warszawa-srodmiescie"
116	"Drugi Urzad Skarbowy Warszawa-srodmiescie"
117	"Urzad Skarbowy Warszawa-Wola"
118	"Urzad Skarbowy Warszawa-Bielany"
119	"Urzad Skarbowy w Grodzisku Mazowieckim"
121	"Urzad Skarbowy w Nowym Dworze Mazowieckim"
122	"Urzad Skarbowy w Otwocku"
123	"Urzad Skarbowy w Piasecznie"
124	"Urzad Skarbowy w Pruszkowie"
125	"Urzad Skarbowy w Wolominie"
126	"Urzad Skarbowy w Bialej Podlaskiej"
127	"Urzad Skarbowy w Parczewie"
128	"Urzad Skarbowy w Radzyniu Podlaskim"
129	"Pierwszy Urzad Skarbowy w Bialymstoku"
131	"Urzad Skarbowy w Bielsku Podlaskim"
132	"Urzad Skarbowy w Monkach"
133	"Urzad Skarbowy w Siemiatyczach"
134	"Urzad Skarbowy w Sokolce"
135	"Pierwszy Urzad Skarbowy w Bielsku-Bialej"
136	"Urzad Skarbowy w Cieszynie"
137	"Urzad Skarbowy w Oswiecimiu"
138	"Urzad Skarbowy w Suchej Beskidzkiej"
139	"Urzad Skarbowy w Wadowicach"
141	"Urzad Skarbowy w zywcu"
142	"Pierwszy Urzad Skarbowy w Bydgoszczy"
143	"Urzad Skarbowy w Chojnicach"
144	"Urzad Skarbowy w Inowroclawiu"
145	"Urzad Skarbowy w Mogilnie"
146	"Urzad Skarbowy w Nakle nad Notecia"
147	"Urzad Skarbowy w swieciu"
148	"Urzad Skarbowy w Tucholi"
149	"Urzad Skarbowy w zninie"
151	"Urzad Skarbowy w Chelmie"
152	"Urzad Skarbowy w Krasnymstawie"
153	"Urzad Skarbowy we Wlodawie"
154	"Urzad Skarbowy w Ciechanowie"
155	"Urzad Skarbowy w Dzialdowie"
156	"Urzad Skarbowy w Mlawie"
157	"Urzad Skarbowy w Plonsku"
158	"Urzad Skarbowy w Pultusku"
159	"Pierwszy Urzad Skarbowy w Czestochowie"
161	"Urzad Skarbowy w Klobucku"
162	"Urzad Skarbowy w Lublincu"
163	"Urzad Skarbowy w Myszkowie"
164	"Urzad Skarbowy w Olesnie"
165	"Urzad Skarbowy w Braniewie"
166	"Urzad Skarbowy w Elblagu"
167	"Urzad Skarbowy w Kwidzynie"
168	"Urzad Skarbowy w Malborku"
169	"Pierwszy Urzad Skarbowy w Gdansku"
171	"Drugi Urzad Skarbowy w Gdansku"
172	"Pierwszy Urzad Skarbowy w Gdyni"
173	"Urzad Skarbowy w Kartuzach"
174	"Urzad Skarbowy w Koscierzynie"
175	"Urzad Skarbowy w Pucku"
176	"Urzad Skarbowy w Sopocie"
177	"Urzad Skarbowy w Starogardzie Gdanskim"
178	"Urzad Skarbowy w Tczewie"
179	"Urzad Skarbowy w Wejherowie"
181	"Urzad Skarbowy w Choszcznie"
182	"Urzad Skarbowy w Gorzowie Wielkopolskim"
183	"Urzad Skarbowy w Mysliborzu"
184	"Urzad Skarbowy w Miedzychodzie"
185	"Urzad Skarbowy w Miedzyrzeczu"
186	"Urzad Skarbowy w Slubicach"
187	"Urzad Skarbowy w Boleslawcu"
188	"Urzad Skarbowy w Jeleniej Gorze"
189	"Urzad Skarbowy w Kamiennej Gorze"
191	"Urzad Skarbowy w Lubaniu"
192	"Urzad Skarbowy w Lwowku slaskim"
193	"Urzad Skarbowy w Zgorzelcu"
194	"Urzad Skarbowy w Jarocinie"
195	"Pierwszy Urzad Skarbowy w Kaliszu"
196	"Urzad Skarbowy w Kepnie"
197	"Urzad Skarbowy w Krotoszynie"
198	"Urzad Skarbowy w Ostrowie Wielkopolskim"
199	"Urzad Skarbowy w Bedzinie"
201	"Opolski Urzad Skarbowy w Opolu"
202	"Podkarpacki Urzad Skarbowy w Rzeszowie"
203	"Podlaski Urzad Skarbowy w Bialymstoku"
204	"Pomorski Urzad Skarbowy w Gdansku"
205	"Pierwszy slaski Urzad Skarbowy w Sosnowcu"
206	"Drugi slaski Urzad Skarbowy w Bielsku-Bialej"
207	"swietokrzyski Urzad Skarbowy w Kielcach"
208	"Warminsko-Mazurski Urzad Skarbowy w Olsztynie"
209	"Pierwszy Wielkopolski Urzad Skarbowy w Poznaniu"
211	"Urzad Skarbowy w Bytomiu"
212	"Urzad Skarbowy w Chorzowie"
213	"Urzad Skarbowy w Chrzanowie"
214	"Urzad Skarbowy w Czechowicach-Dziedzicach"
215	"Urzad Skarbowy w Dabrowie Gorniczej"
216	"Pierwszy Urzad Skarbowy w Gliwicach"
217	"Urzad Skarbowy w Jastrzebiu-Zdroju"
218	"Urzad Skarbowy w Jaworznie"
219	"Pierwszy Urzad Skarbowy w Katowicach"
221	"Urzad Skarbowy w Mikolowie"
222	"Urzad Skarbowy w Myslowicach"
223	"Urzad Skarbowy w Olkuszu"
224	"Urzad Skarbowy w Pszczynie"
225	"Urzad Skarbowy w Raciborzu"
226	"Urzad Skarbowy w Rudzie slaskiej"
227	"Urzad Skarbowy w Rybniku"
228	"Urzad Skarbowy w Siemianowicach slaskich"
229	"Urzad Skarbowy w Sosnowcu"
231	"Urzad Skarbowy w Tarnowskich Gorach"
232	"Urzad Skarbowy w Tychach"
233	"Urzad Skarbowy w Wodzislawiu slaskim"
234	"Urzad Skarbowy w Zabrzu"
235	"Urzad Skarbowy w Zawierciu"
236	"Urzad Skarbowy w zorach"
237	"Urzad Skarbowy w Busku-Zdroju"
238	"Urzad Skarbowy w Jedrzejowie"
239	"Pierwszy Urzad Skarbowy w Kielcach"
241	"Urzad Skarbowy w Konskich"
242	"Urzad Skarbowy w Miechowie"
243	"Urzad Skarbowy w Ostrowcu swietokrzyskim"
244	"Urzad Skarbowy w Pinczowie"
245	"Urzad Skarbowy w Starachowicach"
246	"Urzad Skarbowy w Skarzysku-Kamiennej"
247	"Urzad Skarbowy w Kole"
248	"Urzad Skarbowy w Koninie"
249	"Urzad Skarbowy w Slupcy"
251	"Urzad Skarbowy w Turku"
252	"Urzad Skarbowy w Bialogardzie"
253	"Urzad Skarbowy w Drawsku Pomorskim"
254	"Urzad Skarbowy w Kolobrzegu"
255	"Pierwszy Urzad Skarbowy w Koszalinie"
256	"Urzad Skarbowy w Szczecinku"
257	"Urzad Skarbowy Krakow-Krowodrza"
258	"Urzad Skarbowy Krakow-Nowa Huta"
259	"Urzad Skarbowy Krakow-Podgorze"
261	"Urzad Skarbowy w Krakow-srodmiescie"
262	"Urzad Skarbowy w Krakow-Stare Miasto"
263	"Urzad Skarbowy w Myslenicach"
264	"Urzad Skarbowy w Proszowicach"
265	"Urzad Skarbowy w Wieliczce"
266	"Urzad Skarbowy w Brzozowie"
267	"Urzad Skarbowy w Jasle"
268	"Urzad Skarbowy w Krosnie"
269	"Urzad Skarbowy w Lesku"
271	"Urzad Skarbowy w Sanoku"
272	"Urzad Skarbowy w Ustrzykach Dolnych"
273	"Urzad Skarbowy w Glogowie"
274	"Urzad Skarbowy w Jaworze"
275	"Urzad Skarbowy w Legnicy"
276	"Urzad Skarbowy w Lubinie"
277	"Urzad Skarbowy w Zlotoryi"
278	"Urzad Skarbowy w Gostyniu"
279	"Urzad Skarbowy w Koscianie"
281	"Urzad Skarbowy w Lesznie"
282	"Urzad Skarbowy w Rawiczu"
283	"Urzad Skarbowy w Krasniku"
284	"Urzad Skarbowy w Lubartowie"
285	"Pierwszy Urzad Skarbowy w Lublinie"
286	"Drugi Urzad Skarbowy w Lublinie"
287	"Urzad Skarbowy w Opolu Lubelskim"
288	"Urzad Skarbowy w Pulawach"
289	"Urzad Skarbowy w Grajewie"
291	"Urzad Skarbowy w Kolnie"
292	"Urzad Skarbowy w lomzy"
293	"Urzad Skarbowy w Wysokiem Mazowieckim"
294	"Urzad Skarbowy w Zambrowie"
295	"Urzad Skarbowy w Glownie"
296	"Pierwszy Urzad Skarbowy lodz-Baluty"
297	"Pierwszy Urzad Skarbowy lodz-Gorna"
298	"Urzad Skarbowy lodz-Polesie"
301	"Drugi Wielkopolski Urzad Skarbowy w Kaliszu"
302	"Zachodniopomorski Urzad Skarbowy w Szczecinie"
311	"Urzad Skarbowy lodz-srodmiescie"
312	"Urzad Skarbowy lodz-Widzew"
313	"Urzad Skarbowy w Pabianicach"
314	"Urzad Skarbowy w Zgierzu"
315	"Urzad Skarbowy w Gorlicach"
316	"Urzad Skarbowy w Limanowej"
317	"Urzad Skarbowy w Nowym Saczu"
318	"Urzad Skarbowy w Nowym Targu"
319	"Urzad Skarbowy w Zakopanem"
321	"Urzad Skarbowy w Bartoszycach"
322	"Urzad Skarbowy w Ilawie"
323	"Urzad Skarbowy w Ketrzynie"
324	"Urzad Skarbowy w Olsztynie"
325	"Urzad Skarbowy w Ostrodzie"
326	"Urzad Skarbowy w Szczytnie"
327	"Urzad Skarbowy w Brzegu"
328	"Urzad Skarbowy w Glubczycach"
329	"Urzad Skarbowy w Kedzierzynie-Kozlu"
331	"Urzad Skarbowy w Kluczborku"
332	"Urzad Skarbowy w Namyslowie"
333	"Urzad Skarbowy w Nysie"
334	"Pierwszy Urzad Skarbowy w Opolu"
335	"Urzad Skarbowy w Prudniku"
336	"Urzad Skarbowy w Strzelcach Opolskich"
337	"Urzad Skarbowy w Makowie Mazowieckim"
338	"Urzad Skarbowy w Ostrolece"
339	"Urzad Skarbowy w Ostrowi Mazowieckiej"
341	"Urzad Skarbowy w Przasnyszu"
342	"Urzad Skarbowy w Wyszkowie"
343	"Urzad Skarbowy w Czarnkowie"
344	"Urzad Skarbowy w Pile"
345	"Urzad Skarbowy w Walczu"
346	"Urzad Skarbowy w Wagrowcu"
347	"Urzad Skarbowy w Zlotowie"
348	"Urzad Skarbowy w Belchatowie"
349	"Urzad Skarbowy w Opocznie"
351	"Urzad Skarbowy w Piotrkowie Trybunalskim"
352	"Urzad Skarbowy w Radomsku"
353	"Urzad Skarbowy w Tomaszowie Mazowieckim"
354	"Urzad Skarbowy w Kutnie"
355	"Urzad Skarbowy w Plocku"
356	"Urzad Skarbowy w Sierpcu"
357	"Urzad Skarbowy w Gnieznie"
358	"Urzad Skarbowy w Nowym Tomyslu"
359	"Urzad Skarbowy Poznan-Grunwald"
361	"Urzad Skarbowy Poznan-Jezyce"
362	"Urzad Skarbowy Poznan-Nowe Miasto"
363	"Pierwszy Urzad Skarbowy Poznan"
364	"Urzad Skarbowy Poznan-srodmiescie"
365	"Urzad Skarbowy Poznan-Wilda"
366	"Urzad Skarbowy w Szamotulach"
367	"Urzad Skarbowy w sremie"
368	"Urzad Skarbowy w srodzie Wielkopolskiej"
369	"Urzad Skarbowy we Wrzesni"
371	"Urzad Skarbowy w Jaroslawiu"
372	"Urzad Skarbowy w Lubaczowie"
373	"Urzad Skarbowy w Przemyslu"
374	"Urzad Skarbowy w Przeworsku"
375	"Urzad Skarbowy w Bialobrzegach"
376	"Urzad Skarbowy w Grojcu"
377	"Urzad Skarbowy w Kozienicach"
378	"Pierwszy Urzad Skarbowy w Radomiu"
379	"Urzad Skarbowy w Szydlowcu"
381	"Urzad Skarbowy w Zwoleniu"
382	"Urzad Skarbowy w Kolbuszowej"
383	"Urzad Skarbowy w Lezajsku"
384	"Urzad Skarbowy w lancucie"
385	"Urzad Skarbowy w Mielcu"
386	"Urzad Skarbowy w Ropczycach"
387	"Urzad Skarbowy w Rzeszowie"
388	"Urzad Skarbowy w Strzyzowie"
389	"Urzad Skarbowy w Garwolinie"
391	"Urzad Skarbowy w lukowie"
392	"Urzad Skarbowy w Minsku Mazowieckim"
393	"Urzad Skarbowy w Siedlcach"
394	"Urzad Skarbowy w Sokolowie Podlaskim"
395	"Urzad Skarbowy w Wegrowie"
396	"Urzad Skarbowy w lasku"
397	"Urzad Skarbowy w Poddebicach"
398	"Urzad Skarbowy w Sieradzu"
399	"Urzad Skarbowy w Wieluniu"
405	"Drugi Urzad Skarbowy w Wieluniu"
411	"Urzad Skarbowy w Zdunskiej Woli"
412	"Urzad Skarbowy w Brzezinach"
413	"Urzad Skarbowy w lowiczu"
414	"Urzad Skarbowy w Rawie Mazowieckiej"
415	"Urzad Skarbowy w Skierniewicach"
416	"Urzad Skarbowy w Sochaczewie"
417	"Urzad Skarbowy w zyrardowie"
418	"Urzad Skarbowy w Bytowie"
419	"Urzad Skarbowy w Czluchowie"
421	"Urzad Skarbowy w Leborku"
422	"Urzad Skarbowy w Slupsku"
423	"Urzad Skarbowy w Augustowie"
424	"Urzad Skarbowy w Elku"
425	"Urzad Skarbowy w Gizycku"
426	"Urzad Skarbowy w Olecku"
427	"Urzad Skarbowy w Piszu"
428	"Urzad Skarbowy w Suwalkach"
429	"Urzad Skarbowy w Goleniowie"
431	"Urzad Skarbowy w Gryficach"
432	"Urzad Skarbowy w Gryfinie"
433	"Urzad Skarbowy w Pyrzycach"
434	"Urzad Skarbowy w Stargardzie Szczecinskim"
435	"Pierwszy Urzad Skarbowy w Szczecinie"
436	"Drugi Urzad Skarbowy w Szczecinie"
437	"Urzad Skarbowy w swinoujsciu"
438	"Urzad Skarbowy w Janowie Lubelskim"
439	"Urzad Skarbowy w Opatowie"
441	"Urzad Skarbowy w Sandomierzu"
442	"Urzad Skarbowy w Stalowej Woli"
443	"Urzad Skarbowy w Staszowie"
444	"Urzad Skarbowy w Tarnobrzegu"
445	"Urzad Skarbowy w Bochni"
446	"Urzad Skarbowy w Brzesku"
447	"Urzad Skarbowy w Dabrowie Tarnowskiej"
448	"Urzad Skarbowy w Debicy"
449	"Pierwszy Urzad Skarbowy w Tarnowie"
451	"Urzad Skarbowy w Brodnicy"
452	"Urzad Skarbowy w Chelmnie"
453	"Urzad Skarbowy w Grudziadzu"
454	"Urzad Skarbowy w Nowym Miescie Lubawskim"
455	"Drugi Urzad Skarbowy w Toruniu"
456	"Urzad Skarbowy w Wabrzeznie"
457	"Urzad Skarbowy w Bystrzycy Klodzkiej"
458	"Urzad Skarbowy w Dzierzoniowie"
459	"Urzad Skarbowy w Klodzku"
461	"Urzad Skarbowy w Nowej Rudzie"
462	"Urzad Skarbowy w swidnicy"
463	"Urzad Skarbowy w Walbrzychu"
464	"Urzad Skarbowy w Zabkowicach slaskich"
465	"Urzad Skarbowy w Aleksandrowie Kujawskim"
466	"Urzad Skarbowy w Lipnie"
467	"Urzad Skarbowy w Radziejowie"
