ID_ucznia;Czas_logowania;Czas_zapisu
u_1;10:00:05;10:49:43
u_2;10:00:08;11:00:16
u_3;10:00:26;10:49:48
u_4;10:00:23;10:50:42
u_5;10:00:03;10:56:36
u_6;10:00:03;10:51:53
u_7;10:00:28;10:58:40
u_8;10:00:04;10:52:52
u_9;10:00:04;10:52:49
u_10;10:00:04;11:00:15
u_11;10:00:16;10:58:34
u_12;10:00:13;10:52:37
u_13;10:00:01;10:55:39
u_14;10:00:10;10:52:42
u_15;10:00:28;10:58:38
u_16;10:00:10;10:53:59
u_17;10:00:07;10:50:52
u_18;10:00:05;10:50:49
u_19;10:00:28;10:58:46
u_20;10:00:04;10:51:41
u_21;10:00:05;10:49:54
u_22;10:00:12;10:49:56
u_23;10:00:11;10:54:58
u_24;10:00:25;10:55:31
u_25;10:00:04;11:00:01
u_26;10:00:25;10:58:37
u_27;10:00:04;10:58:43
u_28;10:00:17;10:58:41
u_29;10:00:23;10:58:46
u_30;10:00:29;10:53:54
u_31;10:00:12;10:56:35
u_32;10:00:12;10:58:58
u_33;10:00:01;11:00:22
u_34;10:00:11;10:57:54
u_35;10:00:24;10:55:58
u_36;10:00:25;10:50:35
u_37;10:00:09;10:54:32
u_38;10:00:12;11:00:12
u_39;10:00:12;10:57:31
u_40;10:00:24;10:52:59
u_41;10:00:01;10:51:38
u_42;10:00:27;10:58:51
u_43;10:00:05;10:51:34
u_44;10:00:13;11:00:19
u_45;10:00:13;10:57:46
u_46;10:00:10;10:57:49
u_47;10:00:30;10:53:47
u_48;10:00:01;10:55:59
u_49;10:00:06;10:50:45
u_50;10:00:03;10:52:39
u_51;10:00:03;10:55:46
u_52;10:00:23;10:56:50
u_53;10:00:26;10:49:50
u_54;10:00:10;10:52:44
u_55;10:00:29;10:51:53
u_56;10:00:21;10:51:38
u_57;10:00:21;10:55:57
u_58;10:00:11;10:51:54
u_59;10:00:09;10:49:39
u_60;10:00:05;11:00:19
u_61;10:00:10;10:55:57
u_62;10:00:29;11:00:14
u_63;10:00:05;10:51:35
u_64;10:00:16;11:00:14
u_65;10:00:05;10:54:53
u_66;10:00:21;10:50:35
u_67;10:00:01;11:00:23
u_68;10:00:26;10:53:48
u_69;10:00:24;10:56:58
u_70;10:00:20;10:55:45
u_71;10:00:26;10:49:49
u_72;10:00:05;10:50:56
u_73;10:00:04;10:55:58
u_74;10:00:10;10:52:48
u_75;10:00:12;10:58:31
u_76;10:00:04;10:50:44
u_77;10:00:24;10:51:35
u_78;10:00:18;10:51:40
u_79;10:00:15;10:55:49
u_80;10:00:24;10:51:39
u_81;10:00:23;10:55:50
u_82;10:00:04;10:50:40
u_83;10:00:29;10:51:53
u_84;10:00:11;10:55:56
u_85;10:00:24;10:51:34
u_86;10:00:22;10:52:54
u_87;10:00:06;10:51:51
u_88;10:00:05;10:54:37
u_89;10:00:04;10:54:37
u_90;10:00:17;10:53:49
u_91;10:00:30;10:55:33
u_92;10:00:19;10:50:35
u_93;10:00:19;11:00:20
u_94;10:00:04;10:56:50
u_95;10:00:16;10:51:33
u_96;10:00:09;10:54:44
u_97;10:00:07;10:58:46
u_98;10:00:09;10:58:44
u_99;10:00:06;10:58:32
u_100;10:00:24;10:58:50
u_101;10:00:01;10:57:32
u_102;10:00:24;10:56:42
u_103;10:00:30;10:57:51
u_104;10:00:01;10:54:42
u_105;10:00:08;10:52:56
u_106;10:00:15;10:51:55
u_107;10:00:02;10:55:48
u_108;10:00:03;10:52:49
u_109;10:00:23;10:57:51
u_110;10:00:11;10:53:37
u_111;10:00:17;10:56:53
u_112;10:00:21;10:58:57
u_113;10:00:08;11:00:23
u_114;10:00:10;10:53:43
u_115;10:00:01;10:53:33
u_116;10:00:14;10:57:50
u_117;10:00:12;10:55:39
u_118;10:00:14;11:00:01
u_119;10:00:25;10:52:52
u_120;10:00:09;10:55:44
u_121;10:00:04;10:52:42
u_122;10:00:28;11:00:21
u_123;10:00:03;10:51:35
u_124;10:00:16;10:50:46
u_125;10:00:14;10:49:31
u_126;10:00:23;10:53:30
u_127;10:00:15;11:00:21
u_128;10:00:14;10:58:35
u_129;10:00:23;10:58:31
u_130;10:00:10;10:56:33
u_131;10:00:25;11:00:27
u_132;10:00:15;10:57:33
u_133;10:00:21;10:52:46
u_134;10:00:26;10:57:35
u_135;10:00:28;10:53:46
u_136;10:00:11;10:52:52
u_137;10:00:20;10:54:46
u_138;10:00:01;10:54:51
u_139;10:00:27;10:54:33
u_140;10:00:17;11:00:13
u_141;10:00:25;10:57:38
u_142;10:00:02;11:00:07
u_143;10:00:12;10:54:44
u_144;10:00:01;10:52:38
u_145;10:00:10;10:56:54
u_146;10:00:12;10:56:58
u_147;10:00:07;10:55:50
u_148;10:00:10;11:00:09
u_149;10:00:30;11:00:08
u_150;10:00:30;10:50:59
u_151;10:00:19;10:55:31
u_152;10:00:15;11:00:07
u_153;10:00:18;10:56:56
u_154;10:00:07;10:58:44
u_155;10:00:18;10:53:38
u_156;10:00:11;10:53:36
u_157;10:00:13;10:56:39
u_158;10:00:02;11:00:29
u_159;10:00:06;10:55:42
u_160;10:00:22;10:50:45
u_161;10:00:03;10:52:54
u_162;10:00:13;10:49:50
u_163;10:00:25;10:54:57
u_164;10:00:18;10:55:57
u_165;10:00:08;10:50:53
u_166;10:00:04;10:57:46
u_167;10:00:28;10:55:54
u_168;10:00:07;11:00:30
u_169;10:00:26;10:49:53
u_170;10:00:07;10:49:45
u_171;10:00:18;10:53:56
u_172;10:00:26;10:56:59
u_173;10:00:26;10:50:31
u_174;10:00:17;10:57:41
u_175;10:00:22;10:51:53
u_176;10:00:26;10:55:55
u_177;10:00:23;10:49:53
u_178;10:00:29;10:54:50
u_179;10:00:11;10:58:53
u_180;10:00:29;10:50:49
u_181;10:00:26;11:00:02
u_182;10:00:25;10:55:50
u_183;10:00:15;10:56:33
u_184;10:00:15;10:57:31
u_185;10:00:08;10:53:46
u_186;10:00:25;10:49:34
u_187;10:00:21;11:00:17
u_188;10:00:15;11:00:07
u_189;10:00:09;10:49:30
u_190;10:00:27;10:55:42
u_191;10:00:18;11:00:29
u_192;10:00:12;10:52:35
u_193;10:00:04;10:57:35
u_194;10:00:24;10:50:40
u_195;10:00:09;10:57:40
u_196;10:00:24;10:50:55
u_197;10:00:16;10:49:49
u_198;10:00:23;10:57:56
u_199;10:00:08;10:50:46
u_200;10:00:15;10:49:39
u_201;10:00:16;10:49:53
u_202;10:00:17;10:57:59
u_203;10:00:05;10:53:50
u_204;10:00:03;10:53:56
u_205;10:00:15;10:55:52
u_206;10:00:20;10:52:42
u_207;10:00:11;10:50:38
u_208;10:00:09;10:50:38
u_209;10:00:05;10:54:57
u_210;10:00:14;10:51:45
u_211;10:00:01;10:50:52
u_212;10:00:20;10:49:30
u_213;10:00:08;10:51:49
u_214;10:00:05;10:50:31
u_215;10:00:13;10:55:40
u_216;10:00:08;11:00:03
u_217;10:00:20;10:53:43
u_218;10:00:04;11:00:01
u_219;10:00:10;11:00:12
u_220;10:00:25;10:58:33
u_221;10:00:05;10:56:44
u_222;10:00:05;10:51:31
u_223;10:00:26;10:54:38
u_224;10:00:26;10:51:41
u_225;10:00:09;10:53:44
u_226;10:00:10;10:58:30
u_227;10:00:08;10:52:40
u_228;10:00:27;10:50:51
u_229;10:00:02;10:57:50
u_230;10:00:12;10:53:37
u_231;10:00:27;10:49:57
u_232;10:00:12;10:52:44
u_233;10:00:06;10:56:48
u_234;10:00:22;10:57:46
u_235;10:00:20;10:49:31
u_236;10:00:13;10:51:32
u_237;10:00:02;10:55:52
u_238;10:00:15;10:52:46
u_239;10:00:06;10:51:52
u_240;10:00:10;10:49:41
u_241;10:00:01;10:50:54
u_242;10:00:11;10:50:39
u_243;10:00:15;10:52:58
u_244;10:00:16;10:58:44
u_245;10:00:25;10:50:53
u_246;10:00:07;10:56:42
u_247;10:00:25;10:57:33
u_248;10:00:17;10:50:59
u_249;10:00:24;11:00:17
u_250;10:00:18;10:57:45
u_251;10:00:24;10:56:36
u_252;10:00:11;10:55:41
u_253;10:00:03;10:49:52
u_254;10:00:26;10:54:56
u_255;10:00:06;10:50:33
u_256;10:00:27;10:58:30
u_257;10:00:28;10:49:56
u_258;10:00:06;10:50:35
u_259;10:00:11;10:58:46
u_260;10:00:17;10:53:55
u_261;10:00:23;10:54:55
u_262;10:00:17;10:57:57
u_263;10:00:14;11:00:01
