ID_ucznia;ID_pytania;Punkty
u_1;p_1;2
u_2;p_1;6
u_3;p_1;6
u_4;p_1;3
u_5;p_1;4
u_6;p_1;1
u_7;p_1;4
u_8;p_1;5
u_9;p_1;3
u_10;p_1;3
u_11;p_1;6
u_12;p_1;3
u_13;p_1;1
u_14;p_1;3
u_15;p_1;4
u_16;p_1;2
u_17;p_1;6
u_18;p_1;2
u_19;p_1;3
u_20;p_1;3
u_21;p_1;5
u_22;p_1;1
u_23;p_1;4
u_24;p_1;5
u_25;p_1;4
u_26;p_1;4
u_27;p_1;5
u_28;p_1;2
u_29;p_1;5
u_30;p_1;6
u_31;p_1;6
u_32;p_1;1
u_33;p_1;6
u_34;p_1;5
u_35;p_1;4
u_36;p_1;6
u_37;p_1;3
u_38;p_1;5
u_39;p_1;3
u_40;p_1;5
u_41;p_1;4
u_42;p_1;2
u_43;p_1;4
u_44;p_1;4
u_45;p_1;5
u_46;p_1;5
u_47;p_1;1
u_48;p_1;3
u_49;p_1;4
u_50;p_1;3
u_51;p_1;6
u_52;p_1;5
u_53;p_1;3
u_54;p_1;2
u_55;p_1;2
u_56;p_1;2
u_57;p_1;4
u_58;p_1;5
u_59;p_1;1
u_60;p_1;5
u_61;p_1;3
u_62;p_1;2
u_63;p_1;5
u_64;p_1;5
u_65;p_1;5
u_66;p_1;2
u_67;p_1;5
u_68;p_1;6
u_69;p_1;6
u_70;p_1;2
u_71;p_1;4
u_72;p_1;2
u_73;p_1;2
u_74;p_1;2
u_75;p_1;4
u_76;p_1;2
u_77;p_1;2
u_78;p_1;4
u_79;p_1;4
u_80;p_1;6
u_81;p_1;3
u_82;p_1;5
u_83;p_1;4
u_84;p_1;1
u_85;p_1;4
u_86;p_1;4
u_87;p_1;6
u_88;p_1;4
u_89;p_1;3
u_90;p_1;5
u_91;p_1;6
u_92;p_1;4
u_93;p_1;2
u_94;p_1;5
u_95;p_1;4
u_96;p_1;3
u_97;p_1;3
u_98;p_1;3
u_99;p_1;2
u_100;p_1;6
u_101;p_1;5
u_102;p_1;2
u_103;p_1;6
u_104;p_1;2
u_105;p_1;4
u_106;p_1;2
u_107;p_1;2
u_108;p_1;3
u_109;p_1;1
u_110;p_1;6
u_111;p_1;4
u_112;p_1;6
u_113;p_1;6
u_114;p_1;6
u_115;p_1;1
u_116;p_1;4
u_117;p_1;3
u_118;p_1;1
u_119;p_1;6
u_120;p_1;1
u_121;p_1;4
u_122;p_1;2
u_123;p_1;6
u_124;p_1;2
u_125;p_1;2
u_126;p_1;4
u_127;p_1;3
u_128;p_1;4
u_129;p_1;1
u_130;p_1;3
u_131;p_1;1
u_132;p_1;6
u_133;p_1;6
u_134;p_1;2
u_135;p_1;4
u_136;p_1;5
u_137;p_1;1
u_138;p_1;4
u_139;p_1;4
u_140;p_1;5
u_141;p_1;5
u_142;p_1;4
u_143;p_1;1
u_144;p_1;5
u_145;p_1;1
u_146;p_1;6
u_147;p_1;4
u_148;p_1;5
u_149;p_1;2
u_150;p_1;5
u_151;p_1;4
u_152;p_1;3
u_153;p_1;2
u_154;p_1;1
u_155;p_1;1
u_156;p_1;4
u_157;p_1;4
u_158;p_1;2
u_159;p_1;2
u_160;p_1;3
u_161;p_1;6
u_162;p_1;3
u_163;p_1;1
u_164;p_1;5
u_165;p_1;3
u_166;p_1;3
u_167;p_1;5
u_168;p_1;4
u_169;p_1;2
u_170;p_1;2
u_171;p_1;5
u_172;p_1;3
u_173;p_1;6
u_174;p_1;6
u_175;p_1;3
u_176;p_1;5
u_177;p_1;1
u_178;p_1;5
u_179;p_1;3
u_180;p_1;6
u_181;p_1;4
u_182;p_1;4
u_183;p_1;2
u_184;p_1;4
u_185;p_1;4
u_186;p_1;3
u_187;p_1;4
u_188;p_1;4
u_189;p_1;1
u_190;p_1;4
u_191;p_1;2
u_192;p_1;3
u_193;p_1;3
u_194;p_1;1
u_195;p_1;6
u_196;p_1;5
u_197;p_1;3
u_198;p_1;2
u_199;p_1;5
u_200;p_1;3
u_201;p_1;6
u_202;p_1;5
u_203;p_1;3
u_204;p_1;1
u_205;p_1;6
u_206;p_1;6
u_207;p_1;6
u_208;p_1;3
u_209;p_1;6
u_210;p_1;5
u_211;p_1;2
u_212;p_1;1
u_213;p_1;2
u_214;p_1;5
u_215;p_1;4
u_216;p_1;2
u_217;p_1;1
u_218;p_1;4
u_219;p_1;5
u_220;p_1;3
u_221;p_1;3
u_222;p_1;5
u_223;p_1;3
u_224;p_1;5
u_225;p_1;4
u_226;p_1;3
u_227;p_1;6
u_228;p_1;2
u_229;p_1;6
u_230;p_1;6
u_231;p_1;5
u_232;p_1;6
u_233;p_1;2
u_234;p_1;5
u_235;p_1;4
u_236;p_1;1
u_237;p_1;5
u_238;p_1;5
u_239;p_1;4
u_240;p_1;1
u_241;p_1;3
u_242;p_1;1
u_243;p_1;6
u_244;p_1;1
u_245;p_1;2
u_246;p_1;3
u_247;p_1;5
u_248;p_1;1
u_249;p_1;6
u_250;p_1;1
u_251;p_1;3
u_252;p_1;3
u_253;p_1;3
u_254;p_1;1
u_255;p_1;4
u_256;p_1;1
u_257;p_1;5
u_258;p_1;5
u_259;p_1;3
u_260;p_1;1
u_261;p_1;4
u_262;p_1;6
u_263;p_1;1
u_1;p_2;4
u_2;p_2;3
u_3;p_2;1
u_4;p_2;2
u_5;p_2;3
u_6;p_2;2
u_7;p_2;1
u_8;p_2;1
u_9;p_2;5
u_10;p_2;4
u_11;p_2;5
u_12;p_2;4
u_13;p_2;2
u_14;p_2;1
u_15;p_2;2
u_16;p_2;5
u_17;p_2;3
u_18;p_2;2
u_19;p_2;1
u_20;p_2;3
u_21;p_2;4
u_22;p_2;1
u_23;p_2;5
u_24;p_2;2
u_25;p_2;5
u_26;p_2;5
u_27;p_2;2
u_28;p_2;2
u_29;p_2;3
u_30;p_2;3
u_31;p_2;3
u_32;p_2;4
u_33;p_2;2
u_34;p_2;4
u_35;p_2;1
u_36;p_2;5
u_37;p_2;2
u_38;p_2;1
u_39;p_2;1
u_40;p_2;1
u_41;p_2;3
u_42;p_2;4
u_43;p_2;1
u_44;p_2;2
u_45;p_2;4
u_46;p_2;1
u_47;p_2;3
u_48;p_2;3
u_49;p_2;2
u_50;p_2;5
u_51;p_2;3
u_52;p_2;2
u_53;p_2;2
u_54;p_2;3
u_55;p_2;2
u_56;p_2;3
u_57;p_2;1
u_58;p_2;5
u_59;p_2;5
u_60;p_2;5
u_61;p_2;5
u_62;p_2;2
u_63;p_2;3
u_64;p_2;3
u_65;p_2;2
u_66;p_2;2
u_67;p_2;2
u_68;p_2;5
u_69;p_2;3
u_70;p_2;1
u_71;p_2;5
u_72;p_2;1
u_73;p_2;5
u_74;p_2;4
u_75;p_2;3
u_76;p_2;2
u_77;p_2;3
u_78;p_2;4
u_79;p_2;2
u_80;p_2;3
u_81;p_2;2
u_82;p_2;3
u_83;p_2;4
u_84;p_2;1
u_85;p_2;2
u_86;p_2;3
u_87;p_2;5
u_88;p_2;3
u_89;p_2;3
u_90;p_2;1
u_91;p_2;1
u_92;p_2;1
u_93;p_2;4
u_94;p_2;3
u_95;p_2;2
u_96;p_2;3
u_97;p_2;1
u_98;p_2;2
u_99;p_2;5
u_100;p_2;4
u_101;p_2;1
u_102;p_2;2
u_103;p_2;5
u_104;p_2;2
u_105;p_2;4
u_106;p_2;3
u_107;p_2;2
u_108;p_2;5
u_109;p_2;3
u_110;p_2;3
u_111;p_2;4
u_112;p_2;1
u_113;p_2;1
u_114;p_2;3
u_115;p_2;3
u_116;p_2;2
u_117;p_2;1
u_118;p_2;4
u_119;p_2;1
u_120;p_2;1
u_121;p_2;5
u_122;p_2;2
u_123;p_2;1
u_124;p_2;2
u_125;p_2;4
u_126;p_2;2
u_127;p_2;5
u_128;p_2;3
u_129;p_2;3
u_130;p_2;4
u_131;p_2;2
u_132;p_2;4
u_133;p_2;5
u_134;p_2;4
u_135;p_2;2
u_136;p_2;3
u_137;p_2;4
u_138;p_2;4
u_139;p_2;5
u_140;p_2;3
u_141;p_2;1
u_142;p_2;1
u_143;p_2;4
u_144;p_2;1
u_145;p_2;5
u_146;p_2;4
u_147;p_2;3
u_148;p_2;5
u_149;p_2;1
u_150;p_2;4
u_151;p_2;1
u_152;p_2;1
u_153;p_2;5
u_154;p_2;3
u_155;p_2;5
u_156;p_2;5
u_157;p_2;4
u_158;p_2;4
u_159;p_2;1
u_160;p_2;5
u_161;p_2;3
u_162;p_2;5
u_163;p_2;4
u_164;p_2;2
u_165;p_2;2
u_166;p_2;2
u_167;p_2;1
u_168;p_2;2
u_169;p_2;5
u_170;p_2;3
u_171;p_2;5
u_172;p_2;5
u_173;p_2;5
u_174;p_2;5
u_175;p_2;1
u_176;p_2;2
u_177;p_2;3
u_178;p_2;5
u_179;p_2;4
u_180;p_2;5
u_181;p_2;3
u_182;p_2;2
u_183;p_2;2
u_184;p_2;2
u_185;p_2;4
u_186;p_2;5
u_187;p_2;3
u_188;p_2;4
u_189;p_2;3
u_190;p_2;1
u_191;p_2;3
u_192;p_2;5
u_193;p_2;3
u_194;p_2;3
u_195;p_2;5
u_196;p_2;3
u_197;p_2;1
u_198;p_2;3
u_199;p_2;2
u_200;p_2;3
u_201;p_2;2
u_202;p_2;4
u_203;p_2;3
u_204;p_2;1
u_205;p_2;5
u_206;p_2;1
u_207;p_2;3
