Id_oceny	Data	Id_ucznia	Id_przedmiotu	Ocena
1	2014-09-08	704/2014	1	2
2	2014-09-08	312/2012	1	4
3	2014-09-08	649/2013	3	5
4	2014-09-08	228/2011	4	4
5	2014-09-09	684/2013	24	5
6	2014-09-10	701/2014	2	3
7	2014-09-11	573/2013	20	3
8	2014-09-11	876/2014	10	2
9	2014-09-11	605/2013	1	5
10	2014-09-12	697/2013	21	4
11	2014-09-12	741/2014	6	2
12	2014-09-12	522/2013	4	3
13	2014-09-12	395/2012	5	3
14	2014-09-12	709/2014	1	4
15	2014-09-12	721/2014	17	4
16	2014-09-12	582/2013	1	2
17	2014-09-12	677/2013	3	2
18	2014-09-12	614/2013	4	2
19	2014-09-12	236/2011	25	4
20	2014-09-12	457/2012	25	3
21	2014-09-12	767/2014	3	3
22	2014-09-12	242/2011	4	4
23	2014-09-12	657/2013	23	1
24	2014-09-12	711/2014	9	3
25	2014-09-12	604/2013	2	2
26	2014-09-12	790/2014	6	4
27	2014-09-12	637/2013	2	4
28	2014-09-12	201/2011	2	5
29	2014-09-12	377/2012	5	3
30	2014-09-12	740/2014	10	3
31	2014-09-12	805/2014	5	2
32	2014-09-12	632/2013	2	3
33	2014-09-12	127/2011	2	2
34	2014-09-12	632/2013	2	5
35	2014-09-12	675/2013	24	4
36	2014-09-12	629/2013	1	2
37	2014-09-12	557/2013	3	3
38	2014-09-15	806/2014	4	3
39	2014-09-15	871/2014	15	5
40	2014-09-15	352/2012	16	5
41	2014-09-15	336/2012	2	6
42	2014-09-15	814/2014	11	2
43	2014-09-15	873/2014	4	4
44	2014-09-15	461/2012	3	2
45	2014-09-15	465/2012	22	4
46	2014-09-15	869/2014	17	5
47	2014-09-15	366/2012	2	4
48	2014-09-15	781/2014	13	5
49	2014-09-15	799/2014	9	4
50	2014-09-15	616/2013	10	4
51	2014-09-15	321/2012	3	2
52	2014-09-15	448/2012	16	5
53	2014-09-15	829/2014	11	2
54	2014-09-15	406/2012	16	2
55	2014-09-15	775/2014	4	5
56	2014-09-15	349/2012	5	6
57	2014-09-15	660/2013	22	4
58	2014-09-15	721/2014	12	2
59	2014-09-15	832/2014	12	2
60	2014-09-15	717/2014	5	2
61	2014-09-15	773/2014	19	5
62	2014-09-15	513/2012	5	3
63	2014-09-15	591/2013	5	4
64	2014-09-15	362/2012	3	5
65	2014-09-15	722/2014	3	4
66	2014-09-15	865/2014	5	3
67	2014-09-15	348/2012	10	3
68	2014-09-15	407/2012	5	6
69	2014-09-15	740/2014	2	3
70	2014-09-15	533/2013	2	3
71	2014-09-15	626/2013	3	5
72	2014-09-15	305/2012	4	4
73	2014-09-15	425/2012	4	3
74	2014-09-15	655/2013	5	5
75	2014-09-15	641/2013	23	2
76	2014-09-15	265/2011	2	5
77	2014-09-15	292/2012	16	2
78	2014-09-15	563/2013	3	2
79	2014-09-15	663/2013	1	4
80	2014-09-15	409/2012	2	3
81	2014-09-15	679/2013	21	3
82	2014-09-15	727/2014	9	5
83	2014-09-15	161/2011	3	3
84	2014-09-15	283/2012	3	3
85	2014-09-15	705/2014	19	1
86	2014-09-15	629/2013	21	4
87	2014-09-15	657/2013	2	5
88	2014-09-15	188/2011	15	4
89	2014-09-15	699/2013	1	4
90	2014-09-15	382/2012	10	5
91	2014-09-15	266/2011	27	2
92	2014-09-15	622/2013	3	3
93	2014-09-15	838/2014	8	2
94	2014-09-15	706/2014	1	1
95	2014-09-15	342/2012	1	5
96	2014-09-15	756/2014	8	4
97	2014-09-15	359/2012	1	2
98	2014-09-15	781/2014	17	1
99	2014-09-15	209/2011	2	5
100	2014-09-15	880/2014	6	4
101	2014-09-15	779/2014	15	4
102	2014-09-15	818/2014	15	2
103	2014-09-15	231/2011	4	2
104	2014-09-15	125/2011	1	4
105	2014-09-15	569/2013	4	3
106	2014-09-15	835/2014	2	3
107	2014-09-15	494/2012	4	5
108	2014-09-15	454/2012	25	5
109	2014-09-15	645/2013	4	4
110	2014-09-15	723/2014	3	3
111	2014-09-15	533/2013	3	3
112	2014-09-15	142/2011	27	3
113	2014-09-15	151/2011	2	2
114	2014-09-15	619/2013	21	4
115	2014-09-15	719/2014	10	5
116	2014-09-15	641/2013	5	4
117	2014-09-15	149/2011	4	2
118	2014-09-15	275/2012	3	2
119	2014-09-15	517/2013	5	2
120	2014-09-15	766/2014	2	3
121	2014-09-15	865/2014	9	3
122	2014-09-15	605/2013	5	3
123	2014-09-15	624/2013	5	4
124	2014-09-15	815/2014	7	3
125	2014-09-15	541/2013	2	3
126	2014-09-15	799/2014	9	4
127	2014-09-15	702/2014	2	2
128	2014-09-15	502/2012	26	5
129	2014-09-15	352/2012	10	4
130	2014-09-15	552/2013	20	2
131	2014-09-15	780/2014	10	5
132	2014-09-15	883/2014	9	5
133	2014-09-15	613/2013	4	4
134	2014-09-15	432/2012	5	5
135	2014-09-15	694/2013	2	4
136	2014-09-15	871/2014	3	3
137	2014-09-15	155/2011	4	4
138	2014-09-15	771/2014	15	4
139	2014-09-15	460/2012	4	2
140	2014-09-15	558/2013	3	2
141	2014-09-15	496/2012	5	3
142	2014-09-15	261/2011	1	4
143	2014-09-15	678/2013	3	2
144	2014-09-15	738/2014	4	2
145	2014-09-15	663/2013	3	5
146	2014-09-15	819/2014	13	1
147	2014-09-15	719/2014	1	2
148	2014-09-15	717/2014	18	2
149	2014-09-15	159/2011	10	3
150	2014-09-15	348/2012	4	5
151	2014-09-15	826/2014	14	2
152	2014-09-15	550/2013	5	3
153	2014-09-15	652/2013	20	2
154	2014-09-15	252/2011	2	4
155	2014-09-15	829/2014	1	3
156	2014-09-15	742/2014	5	2
157	2014-09-15	614/2013	3	6
158	2014-09-15	555/2013	2	6
159	2014-09-15	739/2014	2	2
160	2014-09-15	875/2014	4	4
161	2014-09-15	804/2014	10	2
162	2014-09-15	457/2012	1	4
163	2014-09-15	664/2013	1	3
164	2014-09-15	848/2014	2	5
165	2014-09-15	855/2014	3	4
166	2014-09-15	783/2014	7	3
167	2014-09-15	715/2014	7	4
168	2014-09-15	254/2011	3	2
169	2014-09-15	591/2013	4	4
170	2014-09-15	697/2013	24	4
171	2014-09-15	548/2013	22	3
172	2014-09-15	272/2012	10	5
173	2014-09-15	706/2014	3	3
174	2014-09-15	721/2014	9	4
175	2014-09-15	174/2011	10	4
176	2014-09-15	821/2014	17	4
177	2014-09-15	852/2014	1	2
178	2014-09-15	484/2012	5	5
179	2014-09-15	523/2013	21	3
180	2014-09-15	655/2013	5	3
181	2014-09-15	546/2013	20	3
182	2014-09-15	543/2013	15	3
183	2014-09-15	632/2013	4	2
184	2014-09-15	739/2014	2	2
185	2014-09-15	544/2013	4	1
186	2014-09-15	872/2014	10	5
187	2014-09-15	809/2014	7	3
188	2014-09-15	676/2013	20	3
189	2014-09-15	651/2013	3	2
190	2014-09-15	751/2014	9	6
191	2014-09-15	163/2011	1	6
192	2014-09-15	409/2012	2	5
193	2014-09-15	347/2012	2	5
194	2014-09-15	688/2013	5	2
195	2014-09-15	730/2014	5	3
196	2014-09-15	727/2014	7	2
197	2014-09-15	839/2014	15	4
198	2014-09-15	749/2014	10	6
199	2014-09-15	876/2014	7	2
200	2014-09-15	730/2014	11	2
201	2014-09-15	242/2011	2	3
202	2014-09-15	384/2012	4	2
203	2014-09-15	745/2014	11	2
204	2014-09-15	534/2013	10	3
205	2014-09-15	748/2014	3	2
206	2014-09-15	636/2013	24	2
207	2014-09-15	611/2013	5	4
208	2014-09-15	727/2014	7	4
209	2014-09-15	445/2012	16	3
210	2014-09-15	835/2014	5	2
211	2014-09-15	701/2014	6	2
212	2014-09-15	156/2011	1	3
213	2014-09-15	320/2012	2	4
214	2014-09-15	668/2013	5	4
215	2014-09-15	746/2014	4	2
216	2014-09-15	139/2011	2	3
217	2014-09-15	728/2014	8	5
218	2014-09-15	486/2012	2	1
219	2014-09-15	760/2014	14	2
220	2014-09-15	757/2014	3	2
221	2014-09-15	267/2011	4	4
222	2014-09-15	147/2011	2	4
223	2014-09-15	870/2014	6	3
