Rok;Województwo;Kod strefy;Nazwa strefy;Kod stacji;WskaŸnik;Czas uœredniania;Uœredniona wartoœæ;Min;Maks;Liczba pomiarów
2016;dolnoœl¹skie;PL0204;strefa dolnoœl¹ska;DsDzialoszyn;PM10;1g;27,9;0,0;193,8;8565
2016;dolnoœl¹skie;PL0204;strefa dolnoœl¹ska;DsDziePilsud;PM10;1g;37,9;0,0;553,5;8609
2016;dolnoœl¹skie;PL0204;strefa dolnoœl¹ska;DsGlogWiStwo;PM10;24g;28,3;5,8;130,4;347
2016;dolnoœl¹skie;PL0204;strefa dolnoœl¹ska;DsJelGorOgin;PM10;1g;30,4;0,5;400,5;8653
2016;dolnoœl¹skie;PL0204;strefa dolnoœl¹ska;DsJelGorSoko;PM10;24g;28,8;6,9;194,7;348
2016;dolnoœl¹skie;PL0204;strefa dolnoœl¹ska;DsKlodzSzkol;PM10;1g;35,9;0,0;368,1;8600
2016;dolnoœl¹skie;PL0202;miasto Legnica;DsLegAlRzecz;PM10;1g;37,2;0,0;423,0;8625
2016;dolnoœl¹skie;PL0202;miasto Legnica;DsLegAlRzecz;PM10;24g;35,7;7,5;192,6;363
2016;dolnoœl¹skie;PL0204;strefa dolnoœl¹ska;DsLubiWierzb;PM10;24g;27,0;5,1;127,9;341
2016;dolnoœl¹skie;PL0204;strefa dolnoœl¹ska;DsNowRudSreb;PM10;1g;47,0;0,3;657,4;8505
2016;dolnoœl¹skie;PL0204;strefa dolnoœl¹ska;DsNowRudSreb;PM10;24g;45,5;2,9;257,1;366
2016;dolnoœl¹skie;PL0204;strefa dolnoœl¹ska;DsOlawZolnAK;PM10;24g;29,7;5,3;149,4;350
2016;dolnoœl¹skie;PL0204;strefa dolnoœl¹ska;DsOlesBrzozo;PM10;24g;27,7;4,9;129,4;349
2016;dolnoœl¹skie;PL0204;strefa dolnoœl¹ska;DsOsieczow21;PM10;24g;19,6;2,9;134,7;357
2016;dolnoœl¹skie;PL0204;strefa dolnoœl¹ska;DsPolanSportMOB;PM10;1g;23,7;0,0;286,9;7669
2016;dolnoœl¹skie;PL0204;strefa dolnoœl¹ska;DsPolKasztan;PM10;24g;25,8;5,0;143,6;344
2016;dolnoœl¹skie;PL0204;strefa dolnoœl¹ska;DsSwidnRynek;PM10;24g;31,8;6,2;201,0;346
2016;dolnoœl¹skie;PL0204;strefa dolnoœl¹ska;DsSzczaKolej;PM10;24g;27,7;4,2;131,0;293
2016;dolnoœl¹skie;PL0204;strefa dolnoœl¹ska;DsSzkPor1MajMOB;PM10;1g;18,3;0,0;157,7;7631
2016;dolnoœl¹skie;PL0203;miasto Wa³brzych;DsWalbrzWyso;PM10;1g;27,8;0,1;676,1;8620
2016;dolnoœl¹skie;PL0203;miasto Wa³brzych;DsWalbrzWyso;PM10;24g;26,3;2,6;183,5;343
2016;dolnoœl¹skie;PL0201;Aglomeracja Wroc³awska;DsWrocOrzech;PM10;24g;27,9;3,4;112,8;335
